Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEX,Value
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.70
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.38
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.60
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,2.71
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.60
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.59
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.50
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.87
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.50
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.83
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.40
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.27
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.40
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.54
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.60
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.09
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.70
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.07
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.60
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.41
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.80
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.78
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.90
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.75
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.90
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.70
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,4.00
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.41
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,4.10
